Building,Complete Target,Completion Status,Country,County,Description,Months,Operational Unit,Post,Raised Date,Region,Short Description,WO Complete,WO Number,WO Status,Work Type,2022,2023,Amount or Number,p.Choose Year
Terminator House,29/04/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Apr,Probation,CR3,17/04/2022 15:54:00,South,Residential Assistant,19/04/2022 09:00:00,GEMF:10127,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Keezhadi excavation site,29/04/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,17/04/2022 17:37:00,West,Residential Assistant,28/04/2022 09:48:40,GEMF:10128,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,2/5/2022 20:03,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,18/04/2022 20:03:00,South,Residential Assistant,19/04/2022 07:44:00,GEMF:10131,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,3/5/2022 8:41,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,19/04/2022 08:41:00,West,Residential Assistant,19/04/2022 09:14:00,GEMF:10132,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,3/5/2022 9:04,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,19/04/2022 09:04:00,West,Residential Assistant,19/04/2022 09:10:00,GEMF:10133,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,3/5/2022 10:18,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,19/04/2022 10:18:00,West,Residential Assistant,19/04/2022 13:29:00,GEMF:10134,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,3/5/2022 11:11,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,19/04/2022 11:11:00,West,Residential Assistant,19/04/2022 13:31:00,GEMF:10135,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,3/5/2022 11:46,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,19/04/2022 11:46:00,West,Residential Assistant,27/07/2022 09:20:02,GEMF:10136,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Parthenon,3/5/2022 14:48,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Apr,Border Force,BR1,19/04/2022 14:48:00,Central,Clinical Waste,20/04/2022 18:16:00,GEMF:1069,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,3/5/2022 15:06,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Apr,Probation,CV23,19/04/2022 15:06:00,East,Residential Assistant,19/04/2022 15:19:00,GEMF:10137,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,4/5/2022 5:40,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,20/04/2022 05:40:00,South,Residential Assistant,20/04/2022 08:26:00,GEMF:10139,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Tumulus of Bougon,4/5/2022 9:36,Closed,United Kingdom,Merseyside,Work order completed with documents/costs,22-Apr,Probation,CH25,20/04/2022 09:36:00,West,Clinical Waste,3/5/2022 9:30,GEMF:10140,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,4/5/2022 10:19,Opened,United Kingdom,Northamptonshire,Work order reassigned to supplier,22-Apr,Probation,CV23,20/04/2022 10:19:00,East,Clinical Waste,,GEMF:10141,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Barnenez,4/5/2022 14:56,Closed,United Kingdom,Middlesex,Work order completed with documents/costs,22-Apr,DLUHC,HA0,20/04/2022 14:56:00,North,Residential Assistant,20/04/2022 15:07:00,GEMF:10142,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,4/5/2022 15:26,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,20/04/2022 15:26:00,West,Clinical Waste,27/04/2022 11:46:26,GEMF:10143,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,4/5/2022 16:13,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Apr,Probation,CR3,20/04/2022 16:13:00,South,Residential Assistant,4/5/2022 8:15,GEMF:10144,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,5/5/2022 8:58,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,21/04/2022 08:58:00,South,Residential Assistant,21/04/2022 09:36:00,GEMF:10146,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,5/5/2022 9:19,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Apr,Probation,CB1,21/04/2022 09:19:00,East,Residential Assistant,4/5/2022 8:43,GEMF:10147,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Parthenon,5/5/2022 9:34,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Apr,Border Force,BR1,21/04/2022 09:34:00,Central,Clinical Waste,22/04/2022 09:01:00,GEMF:1070,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Masada,5/5/2022 11:53,Closed,United Kingdom,Herefordshire,Work order completed with documents/costs,22-Apr,Probation,B47,21/04/2022 11:53:00,West,Residential Assistant,21/04/2022 12:49:00,GEMF:10148,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,5/5/2022 12:48,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Apr,Probation,CB1,21/04/2022 12:48:00,East,Residential Assistant,5/5/2022 8:37,GEMF:10149,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Fresh World House,5/5/2022 16:57,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Apr,Probation,BH23,21/04/2022 16:57:00,South,Clinical Waste,21/04/2022 17:00:00,GEMF:10151,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Oxford Street Palace,5/5/2022 21:03,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Apr,Probation,BR1,21/04/2022 21:03:00,Central,General Waste,4/5/2022 11:47,GEMF:10152,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,5/5/2022 21:11,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,21/04/2022 21:11:00,South,Residential Assistant,22/04/2022 08:08:00,GEMF:10153,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,6/5/2022 1:53,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,22/04/2022 01:53:00,South,Residential Assistant,22/04/2022 08:00:00,GEMF:10154,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Hattusa,6/5/2022 10:39,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,22/04/2022 10:39:00,West,Residential Assistant,22/04/2022 12:32:53,GEMF:10155,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Bird Palace,6/5/2022 15:00,Closed,United Kingdom,Cumbria,Work order completed with documents/costs,22-Apr,Probation,CA1,22/04/2022 15:00:00,West,General Waste,28/04/2022 10:26:25,GEMF:10157,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,6/5/2022 16:51,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Apr,Probation,CV23,22/04/2022 16:51:00,East,Residential Assistant,6/5/2022 11:15,GEMF:10158,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,6/5/2022 21:31,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,22/04/2022 21:31:00,South,Residential Assistant,25/04/2022 10:06:01,GEMF:10159,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,6/5/2022 23:59,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,23/04/2022 09:24:00,South,Residential Assistant,25/04/2022 10:07:43,GEMF:10160,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Keezhadi excavation site,6/5/2022 23:59,Opened,United Kingdom,Shropshire,Work is in progress,22-Apr,Probation,CW3,24/04/2022 12:00:00,West,Residential Assistant,,GEMF:10162,WRKINPROG,SERVICE FAILURE,451,480.315,451,451
Keezhadi excavation site,6/5/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,24/04/2022 12:01:00,West,Residential Assistant,25/04/2022 09:54:13,GEMF:10163,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,9/5/2022 8:48,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Apr,Probation,BA3,25/04/2022 08:48:00,West,Residential Assistant,9/5/2022 7:33,GEMF:10164,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Hattusa,9/5/2022 9:08,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,25/04/2022 09:08:00,West,Clinical Waste,25/04/2022 11:39:38,GEMF:10165,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Hattusa,9/5/2022 9:10,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,25/04/2022 09:10:00,West,Clinical Waste,9/5/2022 7:32,GEMF:10166,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Famouse House,9/5/2022 9:14,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Apr,Probation,BD23,25/04/2022 09:14:00,West,Lock up/open up,6/5/2022 9:30,GEMR:51001,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,9/5/2022 10:31,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Apr,Probation,CV23,25/04/2022 10:31:00,East,Residential Assistant,9/5/2022 7:31,GEMF:10167,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,9/5/2022 11:43,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Apr,Probation,CR3,25/04/2022 11:43:00,South,Residential Assistant,9/5/2022 11:10,GEMF:10168,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Famouse House,9/5/2022 13:58,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Apr,Probation,BD23,25/04/2022 13:58:00,West,Clinical Waste,21/07/2022 10:25:56,GEMF:10169,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Crantit cairn,10/5/2022 9:32,Opened,United Kingdom,Derbyshire,Assigned to supplier,22-Apr,DLUHC,DE4,26/04/2022 09:32:00,West,General Waste,,GEMF:10172,ASSIGNED,SERVICE FAILURE,451,480.315,451,451
Hattusa,10/5/2022 10:54,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,26/04/2022 10:54:00,West,Residential Assistant,26/04/2022 13:51:34,GEMF:10173,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,10/5/2022 11:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Apr,Probation,CB1,26/04/2022 11:00:00,East,Housekeeping,10/5/2022 10:27,GEMF:10174,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,10/5/2022 12:25,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Apr,Probation,CR3,26/04/2022 12:25:00,South,Residential Assistant,26/04/2022 17:11:04,GEMF:10175,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,11/5/2022 4:36,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,27/04/2022 04:36:00,South,Residential Assistant,10/5/2022 10:29,GEMF:10176,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,11/5/2022 5:53,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Apr,Probation,CR3,27/04/2022 05:53:00,South,Residential Assistant,27/04/2022 11:03:41,GEMF:10177,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Listoghil,11/5/2022 9:28,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Apr,Probation,BB1,27/04/2022 09:28:00,West,Residential Assistant,11/5/2022 7:43,GEMF:10178,WRKCOM,SERVICE FAILURE,451,480.315,451,451
The Shard,11/5/2022 11:52,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-Apr,DoE,EX22,27/04/2022 11:52:00,West,Housekeeping,10/5/2022 10:28,GEMF:10179,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Manhattan Building,11/5/2022 13:05,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,27/04/2022 13:05:00,West,Residential Assistant,10/5/2022 7:59,GEMF:10181,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,12/5/2022 5:12,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,28/04/2022 05:12:00,South,Residential Assistant,28/04/2022 10:22:09,GEMF:10182,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Listoghil,12/5/2022 8:51,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Apr,Probation,BB1,28/04/2022 08:51:00,West,Residential Assistant,28/04/2022 12:31:36,GEMF:10183,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,12/5/2022 14:24,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Apr,Probation,CB1,28/04/2022 14:24:00,East,Residential Assistant,11/5/2022 11:03,GEMF:10184,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,12/5/2022 23:34,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,28/04/2022 23:34:00,South,Residential Assistant,29/04/2022 10:23:27,GEMF:10185,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,13/05/2022 08:01:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,29/04/2022 08:01:00,South,Residential Assistant,29/04/2022 12:17:07,GEMF:10186,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Pyramid of Sahure,13/05/2022 09:23:00,Opened,United Kingdom,Lancashire,Work order reassigned to supplier,22-Apr,Probation,BB1,29/04/2022 09:23:00,West,Residential Assistant,,GEMF:10187,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,13/05/2022 10:33:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Apr,Probation,BA3,29/04/2022 10:33:00,West,Residential Assistant,27/07/2022 09:17:43,GEMF:10188,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,13/05/2022 10:35:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Apr,Probation,BA3,29/04/2022 10:35:00,West,Residential Assistant,13/05/2022 11:56:34,GEMF:10189,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,13/05/2022 18:31:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,29/04/2022 18:31:21,West,Residential Assistant,13/05/2022 11:47:01,GEMF:10190,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,13/05/2022 23:59:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Probation,PO30,30/04/2022 01:00:00,South,Residential Assistant,3/5/2022 7:15,GEMF:10191,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Keezhadi excavation site,13/05/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Apr,Probation,CW3,30/04/2022 10:17:00,West,Residential Assistant,12/5/2022 8:20,GEMF:10192,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,13/05/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,30/04/2022 10:59:00,South,Lock up/open up,12/5/2022 8:13,GEMR:51219,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,13/05/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Apr,Probation,BN1,30/04/2022 19:59:00,South,Residential Assistant,3/5/2022 7:10,GEMF:10193,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Lane,13/05/2022 23:59:00,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Apr,Probation,BR1,30/04/2022 21:44:00,Central,Residential Assistant,12/5/2022 10:57,GEMF:10194,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Newton Place,13/05/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-May,Probation,BN1,1/5/2022 4:43,South,Residential Assistant,12/5/2022 8:20,GEMF:10195,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Lane,13/05/2022 23:59:00,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-May,Probation,BR1,1/5/2022 5:54,Central,Residential Assistant,12/5/2022 8:21,GEMF:10196,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,13/05/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,1/5/2022 20:16,South,Residential Assistant,13/05/2022 07:09:30,GEMF:10198,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Lane,13/05/2022 23:59:00,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-May,Probation,BR1,1/5/2022 21:59,Central,Residential Assistant,3/5/2022 11:25,GEMF:10199,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,17/05/2022 08:01:00,Opened,United Kingdom,Somerset,Work order reassigned to supplier,22-May,Probation,BA3,3/5/2022 8:01,West,Clinical Waste,,GEMF:10200,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,17/05/2022 10:19:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,3/5/2022 10:19,West,Residential Assistant,3/5/2022 10:53,GEMF:10201,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,17/05/2022 10:34:00,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-May,Probation,CV23,3/5/2022 10:34,East,Residential Assistant,3/5/2022 15:15,GEMF:10202,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,17/05/2022 12:10:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-May,Probation,CB1,3/5/2022 12:10,East,Residential Assistant,4/5/2022 8:26,GEMF:10203,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,17/05/2022 12:52:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,3/5/2022 12:52,West,Clinical Waste,16/05/2022 10:29:10,GEMF:10204,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Prime House,17/05/2022 20:17:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-May,Probation,CB1,3/5/2022 20:17,East,Residential Assistant,16/05/2022 10:20:32,GEMF:10205,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Terminator House,18/05/2022 00:03:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,4/5/2022 0:03,South,Residential Assistant,4/5/2022 9:15,GEMF:10206,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,18/05/2022 09:20:00,Opened,United Kingdom,Surrey,Supplier acknowledges Work Order,22-May,Probation,CR3,4/5/2022 9:20,South,Residential Assistant,,GEMF:10207,ACKNOWLEDGED,SERVICE FAILURE,451,480.315,451,451
Capetown Heights,18/05/2022 09:41:00,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-May,Probation,CV23,4/5/2022 9:41,East,Clinical Waste,4/5/2022 15:52,GEMF:10208,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,18/05/2022 13:47:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,4/5/2022 13:47,South,Clinical Waste,17/05/2022 07:59:48,GEMF:10209,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,18/05/2022 14:05:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,4/5/2022 14:05,West,Residential Assistant,17/05/2022 08:00:31,GEMF:10210,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,18/05/2022 14:22:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,4/5/2022 14:22,South,Clinical Waste,4/5/2022 14:33,GEMF:10211,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,18/05/2022 20:35:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,4/5/2022 20:35,West,Residential Assistant,5/5/2022 9:35,GEMF:10212,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,18/05/2022 21:44:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-May,Probation,PO30,4/5/2022 21:44,South,Residential Assistant,5/5/2022 9:34,GEMF:10213,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,19/05/2022 08:23:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,5/5/2022 8:23,West,Lock up/open up,5/5/2022 9:43,GEMF:10214,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Temple of Cyrene,19/05/2022 20:30:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-May,Probation,BN1,5/5/2022 20:30,South,Residential Assistant,6/5/2022 8:27,GEMF:10216,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Galleon House,20/05/2022 14:26:00,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-May,Probation,BH23,6/5/2022 14:26,South,Clinical Waste,20/05/2022 07:35:16,GEMF:10217,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,20/05/2022 23:59:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-May,Probation,PO30,7/5/2022 3:39,South,Residential Assistant,9/5/2022 11:19,GEMF:10218,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,20/05/2022 23:59:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,7/5/2022 10:38,West,Residential Assistant,9/5/2022 11:06,GEMF:10219,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,20/05/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,7/5/2022 11:17,West,Residential Assistant,27/07/2022 09:19:50,GEMF:10220,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Manhattan Building,20/05/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,7/5/2022 17:18,West,Residential Assistant,9/5/2022 11:06,GEMF:10221,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,20/05/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,7/5/2022 17:47,South,Residential Assistant,9/5/2022 11:11,GEMF:10222,WRKCOM,SERVICE FAILURE,451,480.315,451,451
New Cut House,20/05/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Probation,CR3,7/5/2022 20:03,South,Residential Assistant,20/05/2022 07:36:01,GEMF:10223,WRKCOM,SERVICE FAILURE,451,480.315,451,451
London House,20/05/2022 23:59:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-May,Probation,PO30,8/5/2022 0:37,South,Residential Assistant,9/5/2022 11:08,GEMF:10224,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Red Pyramid,20/05/2022 23:59:00,Opened,United Kingdom,Gloucestershire,Work order reassigned to supplier,22-May,Border Force,GL1,8/5/2022 12:00,West,Residential Assistant,,GEMF:1073,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Massive Heights,20/05/2022 23:59:00,Opened,United Kingdom,Shropshire,Work order reassigned to supplier,22-May,Probation,CW3,8/5/2022 16:43,West,Residential Assistant,,GEMF:10226,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Massive Heights,20/05/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,8/5/2022 16:44,West,Residential Assistant,20/05/2022 07:37:06,GEMF:10227,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,20/05/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,8/5/2022 16:45,West,Residential Assistant,27/07/2022 09:19:56,GEMF:10228,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,20/05/2022 23:59:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,8/5/2022 21:58,West,Residential Assistant,9/5/2022 11:09,GEMF:10229,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Red Pyramid,23/05/2022 10:07:00,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-May,Border Force,GL1,9/5/2022 10:07,West,Residential Assistant,10/5/2022 8:23,GEMF:1074,WRKCOM,SERVICE FAILURE,451,480.315,451,451
The Shard,23/05/2022 12:03:00,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-May,DoE,EX22,9/5/2022 12:03,West,Residential Assistant,20/05/2022 07:37:42,GEMF:10230,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Massive Heights,23/05/2022 19:30:00,Opened,United Kingdom,Shropshire,Work order reassigned to supplier,22-May,Probation,CW3,9/5/2022 19:30,West,Residential Assistant,,GEMF:10231,REASSIGNED,SERVICE FAILURE,451,480.315,451,451
Rambo Heights,23/05/2022 19:59:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-May,Probation,BA3,9/5/2022 19:59,West,Residential Assistant,10/5/2022 10:30,GEMF:10232,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Manhattan Building,23/05/2022 21:34:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Probation,CW3,9/5/2022 21:34,West,Residential Assistant,10/5/2022 12:33,GEMF:10233,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Red Pyramid,24/05/2022 08:02:00,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-May,Border Force,GL1,10/5/2022 8:02,West,Residential Assistant,11/5/2022 8:27,GEMF:1075,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Famouse House,24/05/2022 10:48:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-May,Probation,BD23,10/5/2022 10:48,West,Lock up/open up,24/05/2022 08:06:49,GEMF:10234,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Listoghil,24/05/2022 16:44:00,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-May,Probation,BB1,10/5/2022 16:44,West,Residential Assistant,24/05/2022 08:07:30,GEMF:10235,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Dolmen de Viera,24/05/2022 21:41:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-May,DLUHC,GL7,10/5/2022 21:41,East,Residential Assistant,11/5/2022 11:32,GEMF:10236,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Galleon House,24/05/2022 21:52:00,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-May,Probation,BH23,10/5/2022 21:52,South,Clinical Waste,24/05/2022 08:08:07,GEMF:10237,WRKCOM,SERVICE FAILURE,451,480.315,451,451
Dolmen de Viera,24/05/2022 22:54:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-May,DLUHC,GL7,10/5/2022 22:54,East,Residential Assistant,11/5/2022 11:31,GEMF:10238,WRKCOM,SERVICE FAILURE,451,480.315,451,451
